genre_id,genre_name,fetched_at
28,Action,2026-08-25T06:48:10.035724
12,Adventure,2026-08-25T06:48:10.035734
16,Animation,2026-08-25T06:48:10.035736
35,Comedy,2026-08-25T06:48:10.035737
80,Crime,2026-08-25T06:48:10.035738
99,Documentary,2026-08-25T06:48:10.035740
18,Drama,2026-08-25T06:48:10.035741
10751,Family,2026-08-25T06:48:10.035744
14,Fantasy,2026-08-25T06:48:10.035745
36,History,2026-08-25T06:48:10.035747
27,Horror,2026-08-25T06:48:10.035748
10402,Music,2026-08-25T06:48:10.035749
9648,Mystery,2026-08-25T06:48:10.035751
10749,Romance,2026-08-25T06:48:10.035752
878,Science Fiction,2026-08-25T06:48:10.035753
10770,TV Movie,2026-08-25T06:48:10.035754
53,Thriller,2026-08-25T06:48:10.035756
10752,War,2026-08-25T06:48:10.035757
37,Western,2026-08-25T06:48:10.035758
