genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1380.7869,49567,2026-08-25T06:48:14.146242
12,Adventure,1380.7869,28112,2026-08-25T06:48:14.518958
16,Animation,328.4932,71299,2026-08-25T06:48:14.890996
35,Comedy,328.4932,174514,2026-08-25T06:48:15.263283
80,Crime,259.4866,42485,2026-08-25T06:48:15.635618
99,Documentary,91.7366,227176,2026-08-25T06:48:16.008908
18,Drama,164.6094,297435,2026-08-25T06:48:16.383636
10751,Family,387.5602,33145,2026-08-25T06:48:16.805149
14,Fantasy,614.2746,30337,2026-08-25T06:48:17.178686
36,History,50.4453,22373,2026-08-25T06:48:17.552990
27,Horror,284.2699,72996,2026-08-25T06:48:17.927260
10402,Music,76.8905,54420,2026-08-25T06:48:18.301101
9648,Mystery,133.9161,27099,2026-08-25T06:48:18.672826
10749,Romance,164.6094,64263,2026-08-25T06:48:19.045104
878,Science Fiction,1657.2333,26962,2026-08-25T06:48:19.418288
10770,TV Movie,89.4021,32845,2026-08-25T06:48:19.793438
53,Thriller,502.0551,62045,2026-08-25T06:48:20.218316
10752,War,97.4319,13050,2026-08-25T06:48:20.593417
37,Western,36.5436,10215,2026-08-25T06:48:20.967358
