genre_id,genre_name,fetched_at
28,Action,2026-08-20T06:46:12.113496
12,Adventure,2026-08-20T06:46:12.113503
16,Animation,2026-08-20T06:46:12.113505
35,Comedy,2026-08-20T06:46:12.113506
80,Crime,2026-08-20T06:46:12.113507
99,Documentary,2026-08-20T06:46:12.113508
18,Drama,2026-08-20T06:46:12.113509
10751,Family,2026-08-20T06:46:12.113512
14,Fantasy,2026-08-20T06:46:12.113514
36,History,2026-08-20T06:46:12.113515
27,Horror,2026-08-20T06:46:12.113516
10402,Music,2026-08-20T06:46:12.113517
9648,Mystery,2026-08-20T06:46:12.113519
10749,Romance,2026-08-20T06:46:12.113520
878,Science Fiction,2026-08-20T06:46:12.113521
10770,TV Movie,2026-08-20T06:46:12.113522
53,Thriller,2026-08-20T06:46:12.113523
10752,War,2026-08-20T06:46:12.113525
37,Western,2026-08-20T06:46:12.113526
