tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1137844,Mayday,Mayday,226.6234,8.0,249,2026-09-03,"[28, 35, 10752]","When a U.S. Navy pilot on a top-secret mission during the Cold War gets trapped behind enemy lines, his only chance at survival is to form an alliance with an eccentric ex-KGB agent.",/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,movie,2026-09-07T11:45:08.893314,om5Un9X720M,Official Trailer,Trailer,https://www.youtube.com/watch?v=om5Un9X720M
1386315,The Runner,The Runner,325.554,6.8,300,2026-09-03,"[53, 28]","Maia Marten, a brilliant London lawyer, has her life shattered by a single call on her morning run: her son has been taken. To get him back, she must keep running, obey every ruthless command, and trust no one-each second a test of how far a mother will go to save her child.",/uxCaBoYXsDC4A0SqTm3SISj0OwK.jpg,movie,2026-09-07T11:45:08.893330,zz4rsZLcauY,Official Trailer,Trailer,https://www.youtube.com/watch?v=zz4rsZLcauY
1368337,The Odyssey,The Odyssey,500.1532,8.001,3523,2026-07-15,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,movie,2026-09-07T11:45:08.893335,AyIZ9tiiN8I,Official Countdown Trailer,Trailer,https://www.youtube.com/watch?v=AyIZ9tiiN8I
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,710.812,7.9,2483,2026-07-29,"[878, 28, 12]",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg,movie,2026-09-07T11:45:08.893340,8TZMtslA3UY,Official Trailer,Trailer,https://www.youtube.com/watch?v=8TZMtslA3UY
1765072,You Can See Everything,You Can See Everything,0.05,0.0,0,2026-09-06,[99],"Thirty-four days before she's sent to prison, notorious Silicon Valley founder Elizabeth Holmes invites a skeptical film crew to document her every move. What begins as an intimate portrait of an enigmatic felon becomes a mind-bending three-year journey into the abyss.",/kNyeOp1ro63CN5ValJ1g6mpZg2K.jpg,movie,2026-09-07T11:45:08.893345,,,,
1339713,Obsession,Obsession,225.727,8.198,5347,2026-05-13,"[27, 53]","After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,movie,2026-09-07T11:45:08.893350,gMC8kkwbIQQ,Official Trailer,Trailer,https://www.youtube.com/watch?v=gMC8kkwbIQQ
1204680,Coyote vs. Acme,Coyote vs. Acme,637.0123,7.629,194,2026-08-20,"[35, 12, 10751]","After Acme products fail him one too many times in his dogged pursuit of the Roadrunner, Wile E. Coyote decides to hire a billboard lawyer to sue the Acme Corporation.",/orkLtdgMGiO9rTVMqJ1kKwrnup1.jpg,movie,2026-09-07T11:45:08.893354,H-43VeYGiPM,Official Trailer,Trailer,https://www.youtube.com/watch?v=H-43VeYGiPM
1083381,Backrooms,Backrooms,103.9614,7.1,3155,2026-05-27,"[27, 9648, 878]",A strange doorway appears in the basement of a furniture showroom.,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,movie,2026-09-07T11:45:08.893369,0HjdiohVOik,Official Trailer,Trailer,https://www.youtube.com/watch?v=0HjdiohVOik
1302904,Practical Magic 2,Practical Magic 2,24.0349,6.7,8,2026-09-09,"[10749, 14, 35]",The Owens sisters must confront the dark curse that threatens to unravel their family once and for all.,/7jCV8dkRFK3DGJ4dTqlvrMTFPwZ.jpg,movie,2026-09-07T11:45:08.893375,Ho10_4IX1jE,Official Trailer,Trailer,https://www.youtube.com/watch?v=Ho10_4IX1jE
860508,The Whisper Man,The Whisper Man,161.0316,6.811,490,2026-08-27,"[80, 18, 53]","When his young son vanishes, a widower enlists help from his estranged father, a retired detective who put away the serial killer now linked to the case.",/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg,movie,2026-09-07T11:45:08.893380,ZHRR-1CKYIQ,Official Trailer,Trailer,https://www.youtube.com/watch?v=ZHRR-1CKYIQ
1514026,Buddy,Buddy,52.6439,8.3,38,2026-08-27,"[27, 35]","A magical, singing orange unicorn holds his cast hostage in a surreal TV-show dimension, as he becomes more and more demented.",/6Lh4ZlsAISFQFVfLZ90sE9ycVnN.jpg,movie,2026-09-07T11:45:08.893384,O1fNEHX9tSM,BUDDY Official Trailer (2026),Trailer,https://www.youtube.com/watch?v=O1fNEHX9tSM
1288445,Mutiny,Mutiny,436.8093,6.37,307,2026-08-19,"[28, 53]","After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",/pu2VxGlpGwffOx292w18b1tv96j.jpg,movie,2026-09-07T11:45:08.893388,2Iqvbe98Gb4,Official UK Trailer,Trailer,https://www.youtube.com/watch?v=2Iqvbe98Gb4
1480574,Just Play Dead,Just Play Dead,77.9244,6.583,30,2026-08-28,"[53, 80]",A criminal mastermind plans to fake his death for insurance money while framing his wife's lover. His wife plots to kill him for real and take it all. Both race to outmanoeuvre each other in a deadly battle of wits.,/glALx6QaIgw1u4joXsnfHTjWi6D.jpg,movie,2026-09-07T11:45:08.893392,LlAajeOoFBo,Official Trailer,Trailer,https://www.youtube.com/watch?v=LlAajeOoFBo
1084244,Toy Story 5,Toy Story 5,186.269,8.349,2015,2026-06-17,"[16, 10751, 35, 12]","When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,movie,2026-09-07T11:45:08.893396,c51ND9Hdbw0,Official Trailer,Trailer,https://www.youtube.com/watch?v=c51ND9Hdbw0
1101412,Fall 2: Deadpoint,Fall 2: Deadpoint,96.6315,6.8,19,2026-09-01,[53],"On a perilous climb across Thailand's Mount Kwan, two climbers become trapped thousands of feet above the ground, where vertigo-inducing heights, sheer exposure, and impossible odds turn every moment into a fight for survival.",/sY65bOZcjQqO6VdpOXLN5VcW61e.jpg,movie,2026-09-07T11:45:08.893399,Krs0VDIjhmE,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=Krs0VDIjhmE
1081003,Supergirl,Supergirl,91.4547,6.7,2183,2026-06-24,"[28, 12, 878]","When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",/uhzRnTW4DM13UQBvZP3eVNzQTuz.jpg,movie,2026-09-07T11:45:08.893403,rbLyjarG_bU,Official American Sign Language Trailer,Trailer,https://www.youtube.com/watch?v=rbLyjarG_bU
1423191,Resident Evil,Resident Evil,42.6551,0.0,0,2026-09-16,"[27, 878]","Medical courier Bryan unwittingly finds himself fighting for survival as one fateful, horrifying night collapses around him in chaos.",/qku2uWSoJ9amQV5MWo1Eek29iji.jpg,movie,2026-09-07T11:45:08.893406,mNd1gb19A-c,Official Trailer,Trailer,https://www.youtube.com/watch?v=mNd1gb19A-c
687163,Project Hail Mary,Project Hail Mary,103.4424,8.645,7594,2026-03-15,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",/yihdXomYb5kTeSivtFndMy5iDmf.jpg,movie,2026-09-07T11:45:08.893413,5VYsnngkS_U,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=5VYsnngkS_U
1284046,Onslaught,Onslaught,23.8376,6.3,15,2026-09-02,"[28, 53]","When a rogue squad of genetically engineered super soldiers break loose in the desert, a badass Army sniper must unleash hell to protect her young daughter.",/cOGtvhc6Ij9KvzM6jZsfQyg0B0O.jpg,movie,2026-09-07T11:45:08.893417,AMLCbpM1fRQ,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=AMLCbpM1fRQ
1506560,Clash of the Thundermans,Clash of the Thundermans,214.2234,7.0,20,2026-09-03,"[10770, 10751, 878, 28, 35]","When Chloe develops a destructive new superpower, the Hero League orders her to an elite boarding school for superheroes to learn control of her abilities. Faced with the prospect of sending Chloe away for years, the Thundermans split apart, with Phoebe, Barb and Billy taking her into hiding. Max, Hank, and Nora track their rogue family members, until the two factions face off against each other in a full-on battle for the Thundermans’ future.",/16oqRrWVzQm6qdGfBxvziZ2UiMT.jpg,movie,2026-09-07T11:45:08.893421,Tui9Jpmyb6Q,Official Trailer,Trailer,https://www.youtube.com/watch?v=Tui9Jpmyb6Q
1315772,Minions & Monsters,Minions & Monsters,166.3452,7.6,1040,2026-06-24,"[12, 16, 35, 10751, 14]","This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg,movie,2026-09-07T11:45:09.276895,ZSdOwt-G49w,Official Trailer,Trailer,https://www.youtube.com/watch?v=ZSdOwt-G49w
1731694,LEGO Star Wars: The Mandalorian,LEGO Star Wars: The Mandalorian,60.0394,7.053,19,2026-09-02,"[16, 878, 12, 10751, 28]","The Mandalorian and Grogu join their misfit allies for an epic party, celebrating their heroism. As friends regale the crowd with tales of their adventures, a pirate threat looms.",/x3HEvYXWOW6WHqsHmg2MUVy3SLm.jpg,movie,2026-09-07T11:45:09.276909,NEqBkXeEpkk,Official Trailer,Trailer,https://www.youtube.com/watch?v=NEqBkXeEpkk
1530121,The Girl in the River,The Girl in the River,16.2816,8.2,6,2026-09-04,"[80, 53]",A seasoned criminologist and a young female psychologist are lured to a remote Mississippi town to investigate the murder of a little girl and the disappearance of her twin sister.,/zk2saSFclmoJDxBovrOTp8W6NSz.jpg,movie,2026-09-07T11:45:09.276914,WKPSSLbnh-E,Official Trailer,Trailer,https://www.youtube.com/watch?v=WKPSSLbnh-E
1003596,Avengers: Doomsday,Avengers: Doomsday,49.4648,0.0,0,2026-12-16,"[878, 28, 12]",Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.,/jzPwsojjFStf5lR5Nm07w2hH56G.jpg,movie,2026-09-07T11:45:09.276918,irVNGjRFZGk,Official Trailer,Trailer,https://www.youtube.com/watch?v=irVNGjRFZGk
1384216,The Dog Stars,The Dog Stars,75.1544,6.685,216,2026-08-26,"[878, 18]","After the world's population has been ravaged by a pandemic, a man lives a lonesome existence in a Colorado airplane hangar with his dog and a dour gunman he has befriended. When a mysterious transmission comes through on the radio while he’s flying his old Cessna, it sparks a hunt for the provenance of the sound.",/5O616X9vmRzQdB68PHzBewPittd.jpg,movie,2026-09-07T11:45:09.276922,-xSxaE1ClEE,Official Trailer,Trailer,https://www.youtube.com/watch?v=-xSxaE1ClEE
1294189,The Mongoose,The Mongoose,30.8031,0.0,0,2026-10-30,"[28, 53]","A falsely accused war hero with nothing to lose leads police on an epic televised cross-country car chase, helped by members of his former Special Forces Army battalion and closely monitored by a fascinated public rooting for his safe getaway.",/eSS5mvSG84UUuvtbHel5Yu3Wik4.jpg,movie,2026-09-07T11:45:09.276926,aHrMFtt40_Q,Official Trailer,Trailer,https://www.youtube.com/watch?v=aHrMFtt40_Q
1325734,The Drama,The Drama,34.5527,6.926,1727,2026-04-01,"[10749, 35, 18]",A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,/rnIOUhzwJDfgQakx8EjoNyItKgs.jpg,movie,2026-09-07T11:45:09.276930,6zmKcUa4Xxk,Official Trailer,Trailer,https://www.youtube.com/watch?v=6zmKcUa4Xxk
1375646,Colony,군체,318.1829,8.105,705,2026-05-21,"[28, 27, 878]","Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",/tN799oUR0f1gUKDYdMNrDaY7I51.jpg,movie,2026-09-07T11:45:09.276934,LW6dpj1uCK8,International Trailer,Trailer,https://www.youtube.com/watch?v=LW6dpj1uCK8
