genre_id,genre_name,fetched_at
28,Action,2026-09-03T10:46:52.696364
12,Adventure,2026-09-03T10:46:52.696371
16,Animation,2026-09-03T10:46:52.696373
35,Comedy,2026-09-03T10:46:52.696374
80,Crime,2026-09-03T10:46:52.696375
99,Documentary,2026-09-03T10:46:52.696377
18,Drama,2026-09-03T10:46:52.696378
10751,Family,2026-09-03T10:46:52.696381
14,Fantasy,2026-09-03T10:46:52.696383
36,History,2026-09-03T10:46:52.696384
27,Horror,2026-09-03T10:46:52.696385
10402,Music,2026-09-03T10:46:52.696386
9648,Mystery,2026-09-03T10:46:52.696387
10749,Romance,2026-09-03T10:46:52.696389
878,Science Fiction,2026-09-03T10:46:52.696390
10770,TV Movie,2026-09-03T10:46:52.696391
53,Thriller,2026-09-03T10:46:52.696392
10752,War,2026-09-03T10:46:52.696393
37,Western,2026-09-03T10:46:52.696394
