genre_id,genre_name,fetched_at
28,Action,2026-08-23T06:41:05.850195
12,Adventure,2026-08-23T06:41:05.850208
16,Animation,2026-08-23T06:41:05.850210
35,Comedy,2026-08-23T06:41:05.850211
80,Crime,2026-08-23T06:41:05.850213
99,Documentary,2026-08-23T06:41:05.850214
18,Drama,2026-08-23T06:41:05.850215
10751,Family,2026-08-23T06:41:05.850218
14,Fantasy,2026-08-23T06:41:05.850219
36,History,2026-08-23T06:41:05.850221
27,Horror,2026-08-23T06:41:05.850222
10402,Music,2026-08-23T06:41:05.850223
9648,Mystery,2026-08-23T06:41:05.850224
10749,Romance,2026-08-23T06:41:05.850226
878,Science Fiction,2026-08-23T06:41:05.850227
10770,TV Movie,2026-08-23T06:41:05.850228
53,Thriller,2026-08-23T06:41:05.850229
10752,War,2026-08-23T06:41:05.850230
37,Western,2026-08-23T06:41:05.850232
