genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,767.4727,49769,2026-09-11T10:44:15.409228
12,Adventure,767.4727,28263,2026-09-11T10:44:15.719416
16,Animation,150.6459,71714,2026-09-11T10:44:16.032821
35,Comedy,617.6922,175414,2026-09-11T10:44:16.343838
80,Crime,132.3604,42668,2026-09-11T10:44:16.654423
99,Documentary,36.37,228846,2026-09-11T10:44:16.968443
18,Drama,138.6296,299028,2026-09-11T10:44:17.279693
10751,Family,617.6922,33330,2026-09-11T10:44:17.591090
14,Fantasy,395.2788,30494,2026-09-11T10:44:17.900920
36,History,44.0581,22452,2026-09-11T10:44:18.217844
27,Horror,311.1441,73410,2026-09-11T10:44:18.527363
10402,Music,51.5738,54672,2026-09-11T10:44:18.836925
9648,Mystery,109.498,27311,2026-09-11T10:44:19.153822
10749,Romance,160.9726,64572,2026-09-11T10:44:19.464476
878,Science Fiction,767.4727,27084,2026-09-11T10:44:19.775054
10770,TV Movie,207.9147,32945,2026-09-11T10:44:20.084705
53,Thriller,351.6955,62367,2026-09-11T10:44:20.397416
10752,War,59.0131,13095,2026-09-11T10:44:20.707909
37,Western,33.6382,10238,2026-09-11T10:44:21.017272
