genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,839.8698,49742,2026-09-09T10:51:55.640761
12,Adventure,839.8698,28243,2026-09-09T10:51:55.954113
16,Animation,163.306,71657,2026-09-09T10:51:56.276671
35,Comedy,643.9483,175262,2026-09-09T10:51:56.586224
80,Crime,151.4053,42643,2026-09-09T10:51:56.899401
99,Documentary,41.0715,228645,2026-09-09T10:51:57.210493
18,Drama,172.2452,298821,2026-09-09T10:51:57.528324
10751,Family,643.9483,33315,2026-09-09T10:51:57.842515
14,Fantasy,437.8516,30472,2026-09-09T10:51:58.154291
36,History,48.7258,22442,2026-09-09T10:51:58.465473
27,Horror,315.0795,73341,2026-09-09T10:51:58.780302
10402,Music,58.042,54658,2026-09-09T10:51:59.098086
9648,Mystery,106.9509,27273,2026-09-09T10:51:59.416423
10749,Romance,215.0149,64524,2026-09-09T10:51:59.724794
878,Science Fiction,839.8698,27071,2026-09-09T10:52:00.035511
10770,TV Movie,219.5836,32934,2026-09-09T10:52:00.344711
53,Thriller,394.5615,62294,2026-09-09T10:52:00.657385
10752,War,62.6885,13090,2026-09-09T10:52:00.972255
37,Western,33.7807,10235,2026-09-09T10:52:01.286521
