genre_id,genre_name,fetched_at
28,Action,2026-08-31T12:53:50.835724
12,Adventure,2026-08-31T12:53:50.835733
16,Animation,2026-08-31T12:53:50.835735
35,Comedy,2026-08-31T12:53:50.835737
80,Crime,2026-08-31T12:53:50.835738
99,Documentary,2026-08-31T12:53:50.835739
18,Drama,2026-08-31T12:53:50.835740
10751,Family,2026-08-31T12:53:50.835743
14,Fantasy,2026-08-31T12:53:50.835745
36,History,2026-08-31T12:53:50.835746
27,Horror,2026-08-31T12:53:50.835747
10402,Music,2026-08-31T12:53:50.835749
9648,Mystery,2026-08-31T12:53:50.835750
10749,Romance,2026-08-31T12:53:50.835751
878,Science Fiction,2026-08-31T12:53:50.835752
10770,TV Movie,2026-08-31T12:53:50.835754
53,Thriller,2026-08-31T12:53:50.835755
10752,War,2026-08-31T12:53:50.835756
37,Western,2026-08-31T12:53:50.835757
