tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
980431,Avatar Aang: The Last Airbender,9.227,896,110.9348,2026-07-24,"[16, 28, 12, 14]","Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",2026-08-19T06:43:36.247369,7b20GRFZBFE,Official Trailer,Trailer,https://www.youtube.com/watch?v=7b20GRFZBFE
1632181,Accidental Partners,8.9,354,24.8184,2026-03-12,"[35, 10749]",Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,2026-08-19T06:43:36.247380,tsjsPgnCM2U,Official Trailer,Trailer,https://www.youtube.com/watch?v=tsjsPgnCM2U
1007757,Swapped,8.9,2110,50.529,2026-05-01,"[12, 16, 10751, 14]","A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",2026-08-19T06:43:36.247386,glgmAwRDP8s,Official Trailer,Trailer,https://www.youtube.com/watch?v=glgmAwRDP8s
278,The Shawshank Redemption,8.728,31072,88.7998,1994-09-23,"[18, 80]","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",2026-08-19T06:43:36.247390,PLl99DlL6b4,Official Trailer,Trailer,https://www.youtube.com/watch?v=PLl99DlL6b4
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,8.73,1879,92.4348,2025-07-18,"[16, 28, 14]","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2026-08-19T06:43:36.247394,VCC958XvXpA,Official Trailer Dub,Trailer,https://www.youtube.com/watch?v=VCC958XvXpA
238,The Godfather,8.686,23370,57.6588,1972-03-14,"[18, 80]","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",2026-08-19T06:43:36.247397,Ew9ngL1GZvs,50th Anniversary Trailer,Trailer,https://www.youtube.com/watch?v=Ew9ngL1GZvs
936075,Michael,8.676,4072,81.9152,2026-04-22,"[10402, 18]","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2026-08-19T06:43:36.247401,mbtgEE6rkxw,Official Trailer,Trailer,https://www.youtube.com/watch?v=mbtgEE6rkxw
687163,Project Hail Mary,8.654,7152,127.2495,2026-03-15,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",2026-08-19T06:43:36.247407,5VYsnngkS_U,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=5VYsnngkS_U
240,The Godfather Part II,8.572,14192,30.7144,1974-12-20,"[18, 80]","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",2026-08-19T06:43:36.247412,7pfqivkYUlE,50th Anniversary Franchise Trailer,Trailer,https://www.youtube.com/watch?v=7pfqivkYUlE
424,Schindler's List,8.571,17756,36.2824,1993-12-15,"[18, 36, 10752]",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,2026-08-19T06:43:36.247416,v0RB-3sWbBA,Official Theatrical Trailer,Trailer,https://www.youtube.com/watch?v=v0RB-3sWbBA
389,12 Angry Men,8.568,10247,27.3162,1957-04-10,[18],"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",2026-08-19T06:43:36.247424,TEN-2uTi2c0,Official Trailer,Trailer,https://www.youtube.com/watch?v=TEN-2uTi2c0
1232449,Young Hearts,8.567,304,16.7894,2024-10-26,"[18, 10749]","14-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",2026-08-19T06:43:36.247427,1aCTG9HplF8,Official US Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=1aCTG9HplF8
