genre_id,genre_name,fetched_at
28,Action,2026-09-04T10:45:15.924800
12,Adventure,2026-09-04T10:45:15.924805
16,Animation,2026-09-04T10:45:15.924807
35,Comedy,2026-09-04T10:45:15.924808
80,Crime,2026-09-04T10:45:15.924809
99,Documentary,2026-09-04T10:45:15.924811
18,Drama,2026-09-04T10:45:15.924812
10751,Family,2026-09-04T10:45:15.924814
14,Fantasy,2026-09-04T10:45:15.924816
36,History,2026-09-04T10:45:15.924817
27,Horror,2026-09-04T10:45:15.924819
10402,Music,2026-09-04T10:45:15.924820
9648,Mystery,2026-09-04T10:45:15.924821
10749,Romance,2026-09-04T10:45:15.924822
878,Science Fiction,2026-09-04T10:45:15.924823
10770,TV Movie,2026-09-04T10:45:15.924825
53,Thriller,2026-09-04T10:45:15.924826
10752,War,2026-09-04T10:45:15.924827
37,Western,2026-09-04T10:45:15.924828
