genre_id,genre_name,fetched_at
28,Action,2026-08-15T06:38:17.139273
12,Adventure,2026-08-15T06:38:17.139279
16,Animation,2026-08-15T06:38:17.139281
35,Comedy,2026-08-15T06:38:17.139282
80,Crime,2026-08-15T06:38:17.139283
99,Documentary,2026-08-15T06:38:17.139285
18,Drama,2026-08-15T06:38:17.139286
10751,Family,2026-08-15T06:38:17.139288
14,Fantasy,2026-08-15T06:38:17.139290
36,History,2026-08-15T06:38:17.139292
27,Horror,2026-08-15T06:38:17.139293
10402,Music,2026-08-15T06:38:17.139294
9648,Mystery,2026-08-15T06:38:17.139295
10749,Romance,2026-08-15T06:38:17.139297
878,Science Fiction,2026-08-15T06:38:17.139298
10770,TV Movie,2026-08-15T06:38:17.139299
53,Thriller,2026-08-15T06:38:17.139300
10752,War,2026-08-15T06:38:17.139302
37,Western,2026-08-15T06:38:17.139303
