genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1074.3611,49478,2026-08-15T06:38:20.714728
12,Adventure,1074.3611,28056,2026-08-15T06:38:21.052011
16,Animation,323.3301,71258,2026-08-15T06:38:21.369308
35,Comedy,332.7628,174253,2026-08-15T06:38:21.688061
80,Crime,92.6092,42430,2026-08-15T06:38:22.004805
99,Documentary,91.8885,226504,2026-08-15T06:38:22.326003
18,Drama,237.9754,296640,2026-08-15T06:38:22.646182
10751,Family,323.3301,33057,2026-08-15T06:38:22.967912
14,Fantasy,794.065,30267,2026-08-15T06:38:23.287367
36,History,45.509,22317,2026-08-15T06:38:23.605165
27,Horror,350.6261,72855,2026-08-15T06:38:23.924900
10402,Music,84.8355,54328,2026-08-15T06:38:24.242833
9648,Mystery,167.092,27010,2026-08-15T06:38:24.561208
10749,Romance,117.0782,64083,2026-08-15T06:38:24.881485
878,Science Fiction,1074.3611,26959,2026-08-15T06:38:25.202144
10770,TV Movie,64.0346,32842,2026-08-15T06:38:25.519621
53,Thriller,375.692,61880,2026-08-15T06:38:25.838647
10752,War,124.4957,13029,2026-08-15T06:38:26.157953
37,Western,76.628,10203,2026-08-15T06:38:26.480279
