genre_id,genre_name,fetched_at
28,Action,2026-09-02T10:46:46.540954
12,Adventure,2026-09-02T10:46:46.540961
16,Animation,2026-09-02T10:46:46.540963
35,Comedy,2026-09-02T10:46:46.540964
80,Crime,2026-09-02T10:46:46.540965
99,Documentary,2026-09-02T10:46:46.540966
18,Drama,2026-09-02T10:46:46.540968
10751,Family,2026-09-02T10:46:46.540970
14,Fantasy,2026-09-02T10:46:46.540972
36,History,2026-09-02T10:46:46.540974
27,Horror,2026-09-02T10:46:46.540975
10402,Music,2026-09-02T10:46:46.540976
9648,Mystery,2026-09-02T10:46:46.540977
10749,Romance,2026-09-02T10:46:46.540979
878,Science Fiction,2026-09-02T10:46:46.540980
10770,TV Movie,2026-09-02T10:46:46.540981
53,Thriller,2026-09-02T10:46:46.540983
10752,War,2026-09-02T10:46:46.540984
37,Western,2026-09-02T10:46:46.540985
