genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,839.8385,49745,2026-09-08T10:43:53.461310
12,Adventure,839.8385,28242,2026-09-08T10:43:53.781562
16,Animation,173.6579,71635,2026-09-08T10:43:54.102377
35,Comedy,654.7252,175248,2026-09-08T10:43:54.440999
80,Crime,168.2128,42651,2026-09-08T10:43:54.759370
99,Documentary,45.8617,228545,2026-09-08T10:43:55.082231
18,Drama,183.7523,298724,2026-09-08T10:43:55.402092
10751,Family,654.7252,33316,2026-09-08T10:43:55.724201
14,Fantasy,464.1594,30475,2026-09-08T10:43:56.062642
36,History,56.0372,22439,2026-09-08T10:43:56.381353
27,Horror,318.9049,73339,2026-09-08T10:43:56.701247
10402,Music,59.3039,54653,2026-09-08T10:43:57.058652
9648,Mystery,122.259,27270,2026-09-08T10:43:57.378545
10749,Romance,219.4042,64512,2026-09-08T10:43:57.699020
878,Science Fiction,839.8385,27083,2026-09-08T10:43:58.056035
10770,TV Movie,214.9437,32933,2026-09-08T10:43:58.376576
53,Thriller,408.1873,62295,2026-09-08T10:43:58.703551
10752,War,66.5609,13089,2026-09-08T10:43:59.023861
37,Western,30.942,10235,2026-09-08T10:43:59.344722
