genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1872.4338,49510,2026-08-19T06:43:39.353056
12,Adventure,1872.4338,28109,2026-08-19T06:43:39.669137
16,Animation,288.8608,71315,2026-08-19T06:43:39.982129
35,Comedy,288.8608,174380,2026-08-19T06:43:40.290919
80,Crime,90.7448,42455,2026-08-19T06:43:40.601107
99,Documentary,106.6404,226779,2026-08-19T06:43:40.910774
18,Drama,212.8565,296976,2026-08-19T06:43:41.224649
10751,Family,288.8608,33080,2026-08-19T06:43:41.535689
14,Fantasy,778.47,30308,2026-08-19T06:43:41.845229
36,History,46.3907,22345,2026-08-19T06:43:42.152570
27,Horror,300.1541,72913,2026-08-19T06:43:42.462174
10402,Music,81.9152,54358,2026-08-19T06:43:42.772344
9648,Mystery,217.1636,27057,2026-08-19T06:43:43.081269
10749,Romance,137.406,64165,2026-08-19T06:43:43.390187
878,Science Fiction,1872.4338,26946,2026-08-19T06:43:43.700610
10770,TV Movie,83.4264,32873,2026-08-19T06:43:44.010419
53,Thriller,321.2596,61946,2026-08-19T06:43:44.319894
10752,War,108.8539,13039,2026-08-19T06:43:44.631513
37,Western,60.0484,10208,2026-08-19T06:43:44.939945
