genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,857.7444,49689,2026-09-04T10:45:19.367182
12,Adventure,857.7444,28199,2026-09-04T10:45:19.677498
16,Animation,181.7712,71559,2026-09-04T10:45:19.986806
35,Comedy,324.8273,175011,2026-09-04T10:45:20.298699
80,Crime,230.3441,42587,2026-09-04T10:45:20.612194
99,Documentary,60.0772,228187,2026-09-04T10:45:20.924160
18,Drama,250.2477,298349,2026-09-04T10:45:21.233489
10751,Family,324.8273,33260,2026-09-04T10:45:21.592412
14,Fantasy,497.9764,30446,2026-09-04T10:45:21.901115
36,History,52.2836,22414,2026-09-04T10:45:22.211108
27,Horror,210.2429,73270,2026-09-04T10:45:22.523036
10402,Music,64.1399,54628,2026-09-04T10:45:22.830617
9648,Mystery,170.4168,27233,2026-09-04T10:45:23.137310
10749,Romance,309.2067,64423,2026-09-04T10:45:23.448690
878,Science Fiction,857.7444,27037,2026-09-04T10:45:23.757915
10770,TV Movie,54.2623,32936,2026-09-04T10:45:24.065449
53,Thriller,392.0104,62219,2026-09-04T10:45:24.376970
10752,War,73.6354,13071,2026-09-04T10:45:24.685173
37,Western,29.7015,10227,2026-09-04T10:45:24.995718
