genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,851.9124,49717,2026-09-06T10:23:56.466082
12,Adventure,851.9124,28216,2026-09-06T10:23:56.786074
16,Animation,177.6735,71598,2026-09-06T10:23:57.106762
35,Comedy,477.1181,175139,2026-09-06T10:23:57.429122
80,Crime,184.5184,42626,2026-09-06T10:23:57.749387
99,Documentary,50.4189,228394,2026-09-06T10:23:58.070453
18,Drama,211.1457,298543,2026-09-06T10:23:58.391182
10751,Family,477.1181,33281,2026-09-06T10:23:58.716027
14,Fantasy,482.5778,30462,2026-09-06T10:23:59.052351
36,History,51.7722,22428,2026-09-06T10:23:59.372358
27,Horror,262.5655,73313,2026-09-06T10:23:59.693829
10402,Music,60.3022,54674,2026-09-06T10:24:00.025727
9648,Mystery,137.9664,27255,2026-09-06T10:24:00.345712
10749,Romance,263.0081,64462,2026-09-06T10:24:00.672160
878,Science Fiction,851.9124,27072,2026-09-06T10:24:00.990822
10770,TV Movie,185.4439,32940,2026-09-06T10:24:01.313359
53,Thriller,406.4915,62251,2026-09-06T10:24:01.642076
10752,War,184.5833,13080,2026-09-06T10:24:01.964189
37,Western,26.1592,10231,2026-09-06T10:24:02.284845
