genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,710.812,49736,2026-09-07T11:45:16.994851
12,Adventure,710.812,28242,2026-09-07T11:45:17.380570
16,Animation,186.269,71620,2026-09-07T11:45:17.767082
35,Comedy,637.0123,175214,2026-09-07T11:45:18.148747
80,Crime,190.9893,42641,2026-09-07T11:45:18.536985
99,Documentary,50.9042,228464,2026-09-07T11:45:18.928899
18,Drama,198.3803,298627,2026-09-07T11:45:19.321289
10751,Family,637.0123,33304,2026-09-07T11:45:19.710541
14,Fantasy,500.1532,30472,2026-09-07T11:45:20.090821
36,History,57.2181,22434,2026-09-07T11:45:20.470044
27,Horror,318.1829,73330,2026-09-07T11:45:20.850630
10402,Music,59.0143,54644,2026-09-07T11:45:21.236951
9648,Mystery,133.1865,27254,2026-09-07T11:45:21.621623
10749,Romance,241.3183,64482,2026-09-07T11:45:22.002662
878,Science Fiction,710.812,27084,2026-09-07T11:45:22.390293
10770,TV Movie,214.2234,32939,2026-09-07T11:45:22.769519
53,Thriller,436.8093,62271,2026-09-07T11:45:23.152658
10752,War,226.6234,13084,2026-09-07T11:45:23.537043
37,Western,33.6844,10233,2026-09-07T11:45:23.917611
