genre_id,genre_name,fetched_at
28,Action,2026-08-27T17:23:24.905569
12,Adventure,2026-08-27T17:23:24.905581
16,Animation,2026-08-27T17:23:24.905583
35,Comedy,2026-08-27T17:23:24.905585
80,Crime,2026-08-27T17:23:24.905586
99,Documentary,2026-08-27T17:23:24.905588
18,Drama,2026-08-27T17:23:24.905590
10751,Family,2026-08-27T17:23:24.905593
14,Fantasy,2026-08-27T17:23:24.905596
36,History,2026-08-27T17:23:24.905597
27,Horror,2026-08-27T17:23:24.905599
10402,Music,2026-08-27T17:23:24.905600
9648,Mystery,2026-08-27T17:23:24.905602
10749,Romance,2026-08-27T17:23:24.905604
878,Science Fiction,2026-08-27T17:23:24.905605
10770,TV Movie,2026-08-27T17:23:24.905607
53,Thriller,2026-08-27T17:23:24.905608
10752,War,2026-08-27T17:23:24.905610
37,Western,2026-08-27T17:23:24.905612
