genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1407.5009,49482,2026-08-16T06:39:59.193083
12,Adventure,1407.5009,28072,2026-08-16T06:39:59.573190
16,Animation,329.1045,71272,2026-08-16T06:39:59.949562
35,Comedy,329.1045,174279,2026-08-16T06:40:00.326807
80,Crime,93.8286,42424,2026-08-16T06:40:00.704575
99,Documentary,91.8885,226558,2026-08-16T06:40:01.081576
18,Drama,237.9754,296700,2026-08-16T06:40:01.460508
10751,Family,329.1045,33069,2026-08-16T06:40:01.837372
14,Fantasy,814.1546,30273,2026-08-16T06:40:02.216253
36,History,49.9316,22321,2026-08-16T06:40:02.592172
27,Horror,350.6261,72867,2026-08-16T06:40:02.969468
10402,Music,84.8355,54341,2026-08-16T06:40:03.346332
9648,Mystery,212.4078,27026,2026-08-16T06:40:03.721351
10749,Romance,123.5677,64104,2026-08-16T06:40:04.098337
878,Science Fiction,1407.5009,26951,2026-08-16T06:40:04.481506
10770,TV Movie,77.0286,32841,2026-08-16T06:40:04.859733
53,Thriller,330.6493,61889,2026-08-16T06:40:05.234811
10752,War,127.7012,13028,2026-08-16T06:40:05.613380
37,Western,70.9165,10205,2026-08-16T06:40:05.989076
