genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1763.3254,49553,2026-08-23T06:41:09.805239
12,Adventure,1453.6083,28120,2026-08-23T06:41:10.168651
16,Animation,371.1166,71317,2026-08-23T06:41:10.535365
35,Comedy,371.1166,174494,2026-08-23T06:41:10.883909
80,Crime,95.8501,42474,2026-08-23T06:41:11.237497
99,Documentary,98.6102,227027,2026-08-23T06:41:11.592497
18,Drama,179.0883,297233,2026-08-23T06:41:11.947546
10751,Family,373.5784,33143,2026-08-23T06:41:12.308011
14,Fantasy,655.2789,30337,2026-08-23T06:41:12.672157
36,History,44.195,22366,2026-08-23T06:41:13.038509
27,Horror,254.1711,72970,2026-08-23T06:41:13.396966
10402,Music,75.4623,54396,2026-08-23T06:41:13.741125
9648,Mystery,149.1961,27081,2026-08-23T06:41:14.090828
10749,Romance,143.895,64219,2026-08-23T06:41:14.464517
878,Science Fiction,1763.3254,26953,2026-08-23T06:41:14.842159
10770,TV Movie,94.5186,32823,2026-08-23T06:41:15.215352
53,Thriller,368.9232,62014,2026-08-23T06:41:15.575513
10752,War,94.2689,13050,2026-08-23T06:41:15.936751
37,Western,40.9854,10216,2026-08-23T06:41:16.286391
