genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1763.3254,49538,2026-08-22T06:39:53.352141
12,Adventure,1763.3254,28119,2026-08-22T06:39:53.669009
16,Animation,371.1166,71322,2026-08-22T06:39:53.987248
35,Comedy,371.1166,174478,2026-08-22T06:39:54.303532
80,Crime,91.02,42475,2026-08-22T06:39:54.621501
99,Documentary,99.1245,226995,2026-08-22T06:39:54.938154
18,Drama,190.2787,297221,2026-08-22T06:39:55.296570
10751,Family,371.1166,33129,2026-08-22T06:39:55.613181
14,Fantasy,661.9219,30338,2026-08-22T06:39:55.931139
36,History,44.8714,22369,2026-08-22T06:39:56.256743
27,Horror,287.5725,72956,2026-08-22T06:39:56.573401
10402,Music,77.7538,54388,2026-08-22T06:39:56.891621
9648,Mystery,183.4236,27082,2026-08-22T06:39:57.211788
10749,Romance,143.895,64214,2026-08-22T06:39:57.527533
878,Science Fiction,1763.3254,26957,2026-08-22T06:39:57.884089
10770,TV Movie,93.2234,32869,2026-08-22T06:39:58.204356
53,Thriller,366.1535,62006,2026-08-22T06:39:58.518760
10752,War,97.5143,13048,2026-08-22T06:39:58.838076
37,Western,42.6454,10217,2026-08-22T06:39:59.154234
