genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1123.26,49647,2026-08-31T12:53:55.097893
12,Adventure,1123.26,28165,2026-08-31T12:53:55.488132
16,Animation,236.3186,71462,2026-08-31T12:53:55.869692
35,Comedy,236.3186,174832,2026-08-31T12:53:56.254670
80,Crime,344.2124,42557,2026-08-31T12:53:56.678700
99,Documentary,82.8713,227765,2026-08-31T12:53:57.070298
18,Drama,357.4296,297943,2026-08-31T12:53:57.455028
10751,Family,236.3186,33214,2026-08-31T12:53:57.840901
14,Fantasy,633.2276,30412,2026-08-31T12:53:58.222917
36,History,43.9583,22403,2026-08-31T12:53:58.605296
27,Horror,254.3681,73132,2026-08-31T12:53:58.990660
10402,Music,73.9912,54535,2026-08-31T12:53:59.373735
9648,Mystery,247.0229,27166,2026-08-31T12:53:59.756403
10749,Romance,357.4296,64360,2026-08-31T12:54:00.137728
878,Science Fiction,1123.26,27012,2026-08-31T12:54:00.519066
10770,TV Movie,75.0807,32945,2026-08-31T12:54:00.936436
53,Thriller,426.1891,62161,2026-08-31T12:54:01.318661
10752,War,95.1963,13066,2026-08-31T12:54:01.740336
37,Western,34.507,10222,2026-08-31T12:54:02.131321
