genre_id,genre_name,fetched_at
28,Action,2026-09-11T10:44:11.989757
12,Adventure,2026-09-11T10:44:11.989763
16,Animation,2026-09-11T10:44:11.989765
35,Comedy,2026-09-11T10:44:11.989766
80,Crime,2026-09-11T10:44:11.989767
99,Documentary,2026-09-11T10:44:11.989769
18,Drama,2026-09-11T10:44:11.989770
10751,Family,2026-09-11T10:44:11.989773
14,Fantasy,2026-09-11T10:44:11.989774
36,History,2026-09-11T10:44:11.989776
27,Horror,2026-09-11T10:44:11.989777
10402,Music,2026-09-11T10:44:11.989778
9648,Mystery,2026-09-11T10:44:11.989780
10749,Romance,2026-09-11T10:44:11.989781
878,Science Fiction,2026-09-11T10:44:11.989782
10770,TV Movie,2026-09-11T10:44:11.989783
53,Thriller,2026-09-11T10:44:11.989784
10752,War,2026-09-11T10:44:11.989786
37,Western,2026-09-11T10:44:11.989787
