genre_id,genre_name,top_movie_popularity,total_movies_in_genre,fetched_at
28,Action,1346.7581,49566,2026-08-26T06:50:09.507911
12,Adventure,1346.7581,28119,2026-08-26T06:50:09.897868
16,Animation,308.0179,71350,2026-08-26T06:50:10.289455
35,Comedy,308.0179,174585,2026-08-26T06:50:10.694917
80,Crime,309.1784,42499,2026-08-26T06:50:11.093035
99,Documentary,91.7366,227260,2026-08-26T06:50:11.484163
18,Drama,178.8819,297486,2026-08-26T06:50:11.914848
10751,Family,328.4932,33154,2026-08-26T06:50:12.305925
14,Fantasy,620.9085,30356,2026-08-26T06:50:12.702910
36,History,47.4551,22374,2026-08-26T06:50:13.095370
27,Horror,278.924,73005,2026-08-26T06:50:13.488826
10402,Music,77.7489,54442,2026-08-26T06:50:13.922788
9648,Mystery,138.9728,27113,2026-08-26T06:50:14.313533
10749,Romance,178.8819,64264,2026-08-26T06:50:14.745105
878,Science Fiction,1346.7581,26966,2026-08-26T06:50:15.160261
10770,TV Movie,92.7541,32864,2026-08-26T06:50:15.550741
53,Thriller,534.5399,62058,2026-08-26T06:50:15.977180
10752,War,97.4319,13049,2026-08-26T06:50:16.367700
37,Western,34.1755,10216,2026-08-26T06:50:16.758031
