genre_id,genre_name,fetched_at
28,Action,2026-09-01T11:13:09.280349
12,Adventure,2026-09-01T11:13:09.280356
16,Animation,2026-09-01T11:13:09.280358
35,Comedy,2026-09-01T11:13:09.280359
80,Crime,2026-09-01T11:13:09.280361
99,Documentary,2026-09-01T11:13:09.280362
18,Drama,2026-09-01T11:13:09.280363
10751,Family,2026-09-01T11:13:09.280366
14,Fantasy,2026-09-01T11:13:09.280367
36,History,2026-09-01T11:13:09.280369
27,Horror,2026-09-01T11:13:09.280370
10402,Music,2026-09-01T11:13:09.280372
9648,Mystery,2026-09-01T11:13:09.280373
10749,Romance,2026-09-01T11:13:09.280374
878,Science Fiction,2026-09-01T11:13:09.280375
10770,TV Movie,2026-09-01T11:13:09.280376
53,Thriller,2026-09-01T11:13:09.280378
10752,War,2026-09-01T11:13:09.280379
37,Western,2026-09-01T11:13:09.280380
