genre_id,genre_name,fetched_at
28,Action,2026-09-08T10:43:49.834250
12,Adventure,2026-09-08T10:43:49.834260
16,Animation,2026-09-08T10:43:49.834262
35,Comedy,2026-09-08T10:43:49.834263
80,Crime,2026-09-08T10:43:49.834265
99,Documentary,2026-09-08T10:43:49.834266
18,Drama,2026-09-08T10:43:49.834268
10751,Family,2026-09-08T10:43:49.834271
14,Fantasy,2026-09-08T10:43:49.834272
36,History,2026-09-08T10:43:49.834274
27,Horror,2026-09-08T10:43:49.834275
10402,Music,2026-09-08T10:43:49.834276
9648,Mystery,2026-09-08T10:43:49.834278
10749,Romance,2026-09-08T10:43:49.834279
878,Science Fiction,2026-09-08T10:43:49.834280
10770,TV Movie,2026-09-08T10:43:49.834281
53,Thriller,2026-09-08T10:43:49.834283
10752,War,2026-09-08T10:43:49.834284
37,Western,2026-09-08T10:43:49.834285
