tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
244786,Whiplash,8.4,17048,29.8337,2014-10-10,"[18, 10402, 53]","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2026-09-09T10:51:53.101752,Q7kZy3T6vRM,10th Anniversary Rerelease Official Trailer,Trailer,https://www.youtube.com/watch?v=Q7kZy3T6vRM
311,Once Upon a Time in America,8.374,6195,25.7925,1984-05-23,"[18, 80]","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",2026-09-09T10:51:53.101758,LcpCRyNo8T8,"Once Upon a Time in America (1984) Official Trailer #1 - Robert De Niro, James Woods Gangster Drama",Trailer,https://www.youtube.com/watch?v=LcpCRyNo8T8
27205,Inception,8.4,40134,53.7103,2010-07-15,"[28, 878, 12]","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2026-09-09T10:51:53.101761,JE9z-gy4De4,Official New UK Trailer,Trailer,https://www.youtube.com/watch?v=JE9z-gy4De4
423,The Pianist,8.371,10416,23.1508,2002-09-17,"[18, 10752]","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2026-09-09T10:51:53.101764,og9hFxxdSOg,4K Restoration Trailer,Trailer,https://www.youtube.com/watch?v=og9hFxxdSOg
1084244,Toy Story 5,8.352,2045,163.306,2026-06-17,"[16, 10751, 35, 12]","When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",2026-09-09T10:51:53.101768,c51ND9Hdbw0,Official Trailer,Trailer,https://www.youtube.com/watch?v=c51ND9Hdbw0
724089,Gabriel's Inferno: Part II,8.344,1562,2.8555,2020-07-31,"[10749, 18]","Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",2026-09-09T10:51:53.101771,5g02v1oz5Y0,Gabriel’s Inferno Part II - Official Trailer (PASSIONFLIX),Trailer,https://www.youtube.com/watch?v=5g02v1oz5Y0
569094,Spider-Man: Across the Spider-Verse,8.347,9201,51.6899,2023-05-31,"[16, 28, 12, 878]","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2026-09-09T10:51:53.101774,shW9i6k8cB0,Official Trailer #2,Trailer,https://www.youtube.com/watch?v=shW9i6k8cB0
274,The Silence of the Lambs,8.345,18459,6.6854,1991-02-14,"[80, 53, 18]","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",2026-09-09T10:51:53.101778,6iB21hsprAQ,Official Trailer,Trailer,https://www.youtube.com/watch?v=6iB21hsprAQ
761053,Gabriel's Inferno: Part III,8.332,1095,6.0031,2020-11-19,"[10749, 18]",The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2026-09-09T10:51:53.417975,mjPUGem9SaY,Gabriel's Inferno Part III - Official Trailer (PASSIONFLIX),Trailer,https://www.youtube.com/watch?v=mjPUGem9SaY
567,Rear Window,8.3,7346,15.5876,1954-08-01,"[53, 9648, 18]",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,2026-09-09T10:51:53.417986,iZOTTxwzyMU,REAR WINDOW ('54) - Re-issue Trailer,Trailer,https://www.youtube.com/watch?v=iZOTTxwzyMU
