genre_id,genre_name,fetched_at
28,Action,2026-08-30T11:24:04.071362
12,Adventure,2026-08-30T11:24:04.071372
16,Animation,2026-08-30T11:24:04.071374
35,Comedy,2026-08-30T11:24:04.071376
80,Crime,2026-08-30T11:24:04.071377
99,Documentary,2026-08-30T11:24:04.071379
18,Drama,2026-08-30T11:24:04.071381
10751,Family,2026-08-30T11:24:04.071384
14,Fantasy,2026-08-30T11:24:04.071386
36,History,2026-08-30T11:24:04.071387
27,Horror,2026-08-30T11:24:04.071389
10402,Music,2026-08-30T11:24:04.071391
9648,Mystery,2026-08-30T11:24:04.071392
10749,Romance,2026-08-30T11:24:04.071394
878,Science Fiction,2026-08-30T11:24:04.071395
10770,TV Movie,2026-08-30T11:24:04.071397
53,Thriller,2026-08-30T11:24:04.071398
10752,War,2026-08-30T11:24:04.071400
37,Western,2026-08-30T11:24:04.071401
