genre_id,genre_name,fetched_at
28,Action,2026-09-09T10:51:52.154735
12,Adventure,2026-09-09T10:51:52.154742
16,Animation,2026-09-09T10:51:52.154743
35,Comedy,2026-09-09T10:51:52.154745
80,Crime,2026-09-09T10:51:52.154746
99,Documentary,2026-09-09T10:51:52.154747
18,Drama,2026-09-09T10:51:52.154748
10751,Family,2026-09-09T10:51:52.154751
14,Fantasy,2026-09-09T10:51:52.154753
36,History,2026-09-09T10:51:52.154754
27,Horror,2026-09-09T10:51:52.154756
10402,Music,2026-09-09T10:51:52.154757
9648,Mystery,2026-09-09T10:51:52.154758
10749,Romance,2026-09-09T10:51:52.154759
878,Science Fiction,2026-09-09T10:51:52.154761
10770,TV Movie,2026-09-09T10:51:52.154762
53,Thriller,2026-09-09T10:51:52.154763
10752,War,2026-09-09T10:51:52.154764
37,Western,2026-09-09T10:51:52.154766
