genre_id,genre_name,fetched_at
28,Action,2026-09-10T10:46:35.088265
12,Adventure,2026-09-10T10:46:35.088274
16,Animation,2026-09-10T10:46:35.088276
35,Comedy,2026-09-10T10:46:35.088276
80,Crime,2026-09-10T10:46:35.088277
99,Documentary,2026-09-10T10:46:35.088278
18,Drama,2026-09-10T10:46:35.088279
10751,Family,2026-09-10T10:46:35.088282
14,Fantasy,2026-09-10T10:46:35.088283
36,History,2026-09-10T10:46:35.088285
27,Horror,2026-09-10T10:46:35.088286
10402,Music,2026-09-10T10:46:35.088287
9648,Mystery,2026-09-10T10:46:35.088288
10749,Romance,2026-09-10T10:46:35.088289
878,Science Fiction,2026-09-10T10:46:35.088290
10770,TV Movie,2026-09-10T10:46:35.088291
53,Thriller,2026-09-10T10:46:35.088292
10752,War,2026-09-10T10:46:35.088292
37,Western,2026-09-10T10:46:35.088293
